[19:53:47.000][I][app:206]: ESPHome version 2026.1.4 compiled on 2026-03-21 19:45:27 +0100
[19:53:47.041][I][app:213]: ESP32 Chip: ESP32 r3.1, 2 core(s)
[19:54:54.890][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:54:55.357][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:55.584][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:56.134][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:54:56.659][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:56.659][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:57.369][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:57.473][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:57.703][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:58.295][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:58.600][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:59.355][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:59.496][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:00.368][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:00.512][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:00.684][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:55:01.386][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:01.610][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:02.413][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:02.864][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:03.361][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:03.590][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:03.791][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:55:03.791][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:55:04.471][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:04.657][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:05.190][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:55:05.484][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:05.618][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:06.505][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:06.654][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:06.801][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:55:07.494][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:07.618][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:08.423][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:08.641][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:09.446][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:09.632][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:55:09.761][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:10.453][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:10.661][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
